Category,Rule,Detail,Sprint,Status
Layout,Module version suffix,Use v14 suffix for DutchBay modules: cashflow_v14.py debt_v14.py tax_v14.py (not v15 not no suffix).,Sprint Day 5,New
Imports,Absolute imports only,No relative imports. Use: from analytics.fx.processor import FXProcessor (not from ..fx.processor),Sprint Day 5,New
Imports,LibCST-based import rewriting,Rewrite imports with LibCST transformer that preserves formatting and only alters targeted import nodes.,Original,Active
Imports,Import organization,Use isort: stdlib - third-party - local. All imports alphabetized within groups.,Sprint Day 5,New
Git,Comprehensive .gitignore,Maintain modern Python .gitignore: venvs caches build artifacts IDE files logs project-specific noise.,Original,Active
Git,Checkpoint commits,Before and after major refactors create git checkpoints for easy rollback.,Original,Active
Git,Heredoc for multi-line commits,Use heredoc for multi-line commit messages: git commit -F- <<'EOF' ... EOF (avoids quote/emoji issues).,Sprint Day 5,New
Git,NO EMOJIS in commits,Never include emojis in git commit messages or shell commands. Use plain ASCII only. Emojis cause dquote>/parse errors.,Sprint Day 5,New
Git,EOF markers on scripts,All Python scripts must end with: # EOF (Go with the Flow standard).,Sprint Day 5,New
CLI,typer library RECOMMENDED,Use typer for CLI scripts (type-hint native). Use @app.callback(invoke_without_command=True) for default command pattern.,Sprint Day 5,New
CLI,Banned: argparse,NEVER use argparse. Too verbose too much boilerplate. Use typer or simple sys.argv instead.,Sprint Day 5,New
CLI,sys.argv for simple cases,For scripts with <5 flags simple sys.argv parsing acceptable: fast = '--fast' in sys.argv[1:],Sprint Day 5,New
CLI,click acceptable,click is acceptable (typer is built on it) but typer preferred for new code.,Sprint Day 5,New
Formatting,black mandatory,Run black on all Python code: black analytics/ finance/ scripts/,Sprint Day 5,New
Formatting,isort mandatory,Run isort on all Python code: isort analytics/ finance/ scripts/,Sprint Day 5,New
Formatting,mypy strict mode,Type check with mypy in strict mode; all function signatures fully typed.,Sprint Day 5,New
Formatting,pytest runner,Use pytest for all tests. Fail fast on first error.,Sprint Day 5,New
CI/CD,Go-with-the-Flow CI script,Location: scripts/go_with_the_flow_ci.py. Orchestrates: black - isort - compileall - pytest - mypy (in order fail-fast).,Sprint Day 5,New
CI/CD,Fast mode option,python scripts/go_with_the_flow_ci.py --fast (targeted smoke tests),Sprint Day 5,New
CI/CD,Skip flags available,--no-black --no-isort --no-pytest --no-mypy for selective skipping.,Sprint Day 5,New
CI/CD,File-scoped mode,"python scripts/go_with_the_flow_ci.py --files 'path1,path2' to restrict CI to specific files.",Sprint Day 5,New
CI/CD,Subcommands,info (show config) fire-warning (show emergency tools) main (default pipeline).,Sprint Day 5,New
CI,Go-with-the-Flow CI is canonical gate,scripts/go_with_the_flow_ci.py is the single source of truth for local quality gates (black isort compileall pytest mypy) and must stay in sync with repo rules.,Sprint Day 5,New
CI,Pre-commit Go-with-the-Flow,Before committing to main or v14 branches run: python scripts/go_with_the_flow_ci.py; do not commit if any stage fails.,Sprint Day 5,CRITICAL
CI,File-scoped fast lane on save/refactor,"After editing or refactoring specific modules run: python scripts/go_with_the_flow_ci.py --files path1.py,path2.py --fast to format sort imports compile and run targeted tests for those files.",Sprint Day 6,New
CI,Inner-loop fast mode,During active development prefer: python scripts/go_with_the_flow_ci.py --fast to run smoke tests (Monte Carlo v14 sensitivity_v14 v14 pipeline) while still applying black isort and compileall.,Sprint Day 5,Active
CI,Go-with-the-Flow as AI refactor contract,All AI-assisted refactors must assume go_with_the_flow_ci.py will be run immediately; generated code must be black+isort compliant mypy-safe and avoid argparse in favor of typer.,Sprint Day 6,CRITICAL
Emergency Tools,Bowler standing by,Bowler + LibCST ready for large-scale refactoring battles. Deploy when migrations needed.,Sprint Day 5,New
Emergency Tools,Fire migration scripts,python scripts/fire_migration.py <migration_name> for bulk refactoring ops.,Sprint Day 5,New
Validation,Import/compile validation,After refactors py_compile or compileall should succeed for all modules; run tests and mypy as part of validation.,Original,Active
Validation,Contract-first design,Define API contract (inputs/outputs/types) before implementation; tests encode the contract.,Sprint Day 5,New
Workflow,Refactor sequence,Always: checkpoint - clean deps - move modules - generate __init__ - rewrite imports - install -e - validate - checkpoint - push.,Original,Active
Workflow,Pre-commit checklist,Type hints present no relative imports docstrings complete EOF marker no TODOs black+isort applied tests pass mypy clean no emojis.,Sprint Day 5,New
Workflow,Daily workflow,1. Make changes 2. python scripts/go_with_the_flow_ci.py --fast 3. git add + commit 4. git push,Sprint Day 5,New
Workflow,Checkpoint before merge/release,Before merging branches or tagging a release run full Go-with-the-Flow CI (no --fast no skips) and require a green run across analytics finance and run_full_pipeline_v14.py.,Sprint Day 6,CRITICAL
Workflow,Checkpoint before external exports,Before packaging zips workbooks or reports for lenders or external reviewers run Go-with-the-Flow CI (fast or full depending on scope) and fix any failures.,Sprint Day 6,CRITICAL
Rollback,Git-based rollback,On failure prefer git reset --hard HEAD~1 or stash-based rollback rather than manual file surgery.,Original,Active
DutchBay,analytics/ + finance/ are v14 truth,These two folders contain authoritative v14 implementation; everything else defers to them.,Original,Active
DutchBay,Quarantine dutchbay_v14chat/,dutchbay_v14chat/ is legacy; no new code should depend on it. Move to legacy/ as soon as imports cleaned.,Original,Active
DutchBay,No dutchbay_v14* imports,All imports must target analytics.* and finance.* directly. Remove any from dutchbay_v14* or dutchbay_v14chat.*,Original,Active
DutchBay,Test conftest enforcement,tests/conftest.py ensures repo root's analytics package is used not nested tests/analytics or legacy.,Original,Active
DutchBay,Backups before cleanup,Before moving/deleting many files (e.g. v14 cleanup) take timestamped backup or git checkpoint.,Original,Active
Mindset,Config-driven not code-driven,No sneaky hardcoded knobs in analytics or finance; everything goes through YAML configs with explicit validation.,Original,Active
Mindset,Stateless = safe for any interface,Same config in - same KPIs out. Must work identically in REST CLI batch without hidden state.,Original,Active
Mindset,Explicit paths only,Anything touching files takes explicit path args; never assumes CWD or user-specific paths. No magic.,Original,Active
Mindset,Build Once Build Right,Production-grade code from day one. No placeholders no TODOs no 'fix later'. Copy-paste ready.,Sprint Day 5,New
Mindset,Type hints non-negotiable,Full type annotations + mypy-clean is the bar not 'nice-to-have'. Every function signature typed.,Sprint Day 5,Enhanced
Documentation,Module docstrings complete,Include features/capabilities examples and purpose. No placeholder docstrings.,Sprint Day 5,New
Documentation,Function docstrings with examples,Args Returns Raises and Example sections required. Example should be copy-pasteable.,Sprint Day 5,New
Documentation,EOF markers on scripts,All scripts end with: # EOF (enforced standard).,Sprint Day 5,New
Tooling,Typer-only CLIs,All new CLI scripts (including those invoked by Go-with-the-Flow) must use typer instead of argparse with fully typed options and testable entry points.,Sprint Day 5,Active
Tooling,Emergency refactor tools on standby,Bowler and LibCST are reserved for large-scale migrations; go_with_the_flow_ci.py fire-warning should list active migrations and be consulted before running bulk refactors.,Sprint Day 5,Active
Sprint Day 5,FX Subpackage created,analytics/fx/ module with processor correlation risk returns fx_contracts fx_loader (independent or core-integrated).,Sprint Day 5,New
Sprint Day 5,Tax Calculator extracted,finance/tax_v14.py created as canonical location with validate_parameters() and BOI tax holiday support.,Sprint Day 5,New
Sprint Day 5,Legacy Quarantine,dutchbay_v14chat - legacy/v14chat/; clear deprecation policy; zero legacy imports in production.,Sprint Day 5,New
Sprint Day 5,Test Import Migration,13 test files updated; 18 forbidden imports removed; 100% mapping verification completed.,Sprint Day 5,New
Sprint Day 5,Repo Hygiene Complete,Enhanced .gitignore CI Structure Check housekeeping script EOF guard implementation all deployed.,Sprint Day 5,New
Sprint Day 5,Pre-existing fixes,test_config_schema_guard + test_debt_construction now passing; all pre-existing failures resolved.,Sprint Day 5,New
Governance,Frozen v14 surface,Do not change signatures of run_v14_pipeline; calculate_scenario_kpis; TornadoResult; MultiMetricTornadoResult or the run_full_pipeline CLI mode without an explicit versioned decision and lender impact assessment.,v2.2,Active
Governance,Schema guard first,Any script that runs the v14 engine must call validate_config_for_v14 with validation_mode=strict before run_v14_pipeline; no silent defaults behind the guard.,v2.2,Active
Governance,CLI contract,run_full_pipeline.py must support the contract python run_full_pipeline.py --mode base --config <path>; this is the frozen lender CLI surface.,v2.2,Active
Governance,Contract driven analytics,New analytics outputs must conform to or extend analytics/contracts_v14 dataclasses such as TornadoResult and MultiMetricTornadoResult; no ad hoc result shapes.,v2.2,Active
Governance,Use v14 types,Use existing v14 analytics and finance contracts and types instead of inventing new ones; keep KPI and cashflow interfaces aligned with those contracts.,v2.2,Active
CodeStyle,Keyword KPI calls,calculate_scenario_kpis must always be called with keyword arguments; annual_rows; debt_result; config; discount_rate to keep the interface explicit and stable.,v2.2,Active
CodeStyle,No top level side effects,Modules must be import safe; side effects are only allowed under if __name__ == '__main__' and tests must be able to import any module without triggering work.,v2.2,Active
CodeStyle,CLI defaults without B008,For Typer and other CLIs; never call functions in default argument values; use module level constants for defaults so flake8 bugbear B008 does not trigger.,v2.2,Active
CodeStyle,No ghost features,Do not leave undefined feature hooks or unused public functions; future hooks must be stubs that raise NotImplementedError or be removed until needed.,v2.2,Active
Formatting,88 char line limit,All new code; docstrings and logging must respect a hard target of 88 characters per line; long prose must be reflowed or split rather than deferred to cleanup.,v2.2,Active
Formatting,Docstring discipline,Docstrings should be concise summary lines plus wrapped detail lines; avoid single monster lines that will trigger E501 or B950.,v2.2,Active
Formatting,Logging discipline,Logging and error messages must be split or concatenated so they fit within the line length rule; no ultra long f strings on a single line.,v2.2,Active
Lint,Avoid unused imports,New code must not introduce unused imports or unused local variables; flake8 F401 and F841 are treated as author time bugs; not cleanup work.,v2.2,Active
Lint,Ban F541,No f strings without placeholders; where there is no interpolation use plain string literals rather than f prefix.,v2.2,Active
Lint,Ban F821 in new code,New code may not reference undefined names; if a deliberate forward reference is required it must be covered either by a stub implementation or an explicit noqa and registry entry.,v2.2,Active
Lint,Ban B008 in new code,New code must not use function calls in default argument values; especially in Typer options and arguments; use constants or factories instead.,v2.2,Active
Lint,Line length errors upstream,E501 and B950 must be prevented at author time; especially in docstrings; comments and logging; long lines are a design smell; not a later cleanup task.,v2.2,Active
Types,Mypy clean new code,New or heavily modified modules must be written to pass mypy under the current project configuration; type ignore comments require justification.,v2.2,Active
Types,Fully typed public surface,Public functions; methods and dataclasses in analytics and finance must carry full type hints on parameters and return types; not partial or omitted.,v2.2,Active
Tests,Tests gate changes,Core test files such as v14 pipeline smoke; CLI smoke; metrics integration; export smoke and v14 lender suite must remain green; they define whether lender facing behaviour is safe.,v2.2,Active
Tests,Export column contracts,ScenarioAnalytics.run must return summary_df and timeseries_df whose columns include scenario_name; project_irr; equity_irr; project_npv; equity_npv; min_dscr; dscr_min for summary and scenario_name; dscr for timeseries; tests lock these names.,v2.2,Active
Tests,JSON KPI contract,v14 JSON kpis payload must expose project_npv; project_irr; equity_irr; equity_npv; min_dscr and dscr_min; dscr_min must numerically match min_dscr within tolerance.,v2.2,Active
CI,Pure Python local pipeline,The primary local pipeline runs black; isort; compileall; pytest; mypy and JSON export; Go with the Flow helpers orchestrate these steps without shell hacks.,v2.2,Active
CI,Pre commit as gate,Pre commit must run black; isort; flake8 and mypy on staged files; failing hooks block commits; new code is expected to be emit clean with respect to these tools.,v2.2,Active
CI,Fast dev lane,Go with the Flow CI helper supports a fast mode that runs formatting; targeted tests and mypy on a specified set of files; developers are expected to use this before review.,v2.2,Active
MultiFile,Rule 80 multi file ops,For multi file changes; use gather scripts to collect violations into context files; generate explicit Python fix scripts; run them; then run flake8 and pytest before committing; no blind sed based surgery.,v2.2,Active
MultiFile,Context first fixes,Bulk lint fixes operate on generated context such as violations_context or E501 context files; fixes are applied only where the context explicitly indicates; keeping edits auditable.,v2.2,Active
MultiFile,Deferred violations registry,Some violations are intentionally deferred and tracked in a registry; automated fix passes must respect this registry and avoid changing lines that are marked as deferred.,v2.2,Active
AI,AI emission contract,When prompts say Go with the Flow; AI generated code must target passing black; isort; flake8 including bugbear and mypy on first generation; within the 88 char line rule.,v2.2,Active
AI,AI lint awareness,AI must avoid unused imports; B008; F541 and F821 in new code; and must assume the v14 contracts are the canonical types for analytics and finance; lint or type failures are treated as defects to fix; not work for the human team.,v2.2,Active
AI,AI uses v14 templates,For CLIs; analytics modules and tests; AI should default to the established project templates such as Typer based CLI pattern and ScenarioAnalytics patterns rather than ad hoc structures.,v2.2,Active
Governance,Experimental vs supported,Core lender facing modules must be kept lint clean and type safe; experimental or research modules may carry limited deferred debt but must be clearly identified and isolated from critical CI paths.,v2.2,Active
Governance,No surprise schema changes,Changes to scenario schema or validation rules must go through validate_config_for_v14 and associated tests; no silent widening or narrowing of required fields without schema guard updates and test revisions.,v2.2,Active
Process,No shell cowboy surgery,Multi file or multi line edits must be implemented via Python tooling and Go with the Flow scripts; direct ad hoc sed or awk edits against the repo are discouraged and should be followed only by black and full tests if ever used.,v2.2,Active
Process,Emit clean definition of done,For a new or changed module the definition of done is: black clean; isort clean; flake8 clean for configured codes; mypy clean on target packages; tests green; and no entries added to the deferred violations registry unless explicitly agreed.,v2.2,Active
Formatting,Max 88 chars,"All code, docstrings, comments, and logging lines must be <= 88 characters.",v2.3,Active
Formatting,black required,"Files must be black-clean with the project config (line_length=88, target py311).",v2.3,Active
Formatting,isort required,Imports must be isort-clean using the black profile.,v2.3,Active
Formatting,flake8 core codes,"New or changed code must be flake8-clean at least for E4, E7, E9, F4, F8, and B00x, including E501/B950.",v2.3,Active
Formatting,ruff primary linter,"Use ruff as the primary linter where possible, keeping flake8 only where explicitly needed.",v2.3,Active
Banned Pattern,No l/O/I vars,"Do not use single-letter variable names l, O, or I; use clearer names like line, obj, or index instead.",v2.3,Active
Banned Pattern,No empty f-strings,Do not use f-strings without placeholders (F541); use plain string literals instead.,v2.3,Active
Banned Pattern,No func calls in defaults,Do not call functions in default argument values (B008); use module-level constants or factories instead.,v2.3,Active
Banned Pattern,No unused imports,Do not introduce unused imports (F401) in new or changed code.,v2.3,Active
Banned Pattern,No unused locals,Do not introduce unused local variables (F841); use a leading underscore for intentionally ignored values.,v2.3,Active
Banned Pattern,No F821 in prod,"Production code must not contain undefined names (F821); if truly deferred, use an explicit noqa and registry entry.",v2.3,Active
Banned Pattern,No top-level side effects,Avoid runtime side effects at import time; restrict them to guarded blocks under if __name__ == '__main__':.,v2.3,Active
Types,Full type hints,All public functions and methods must have full type annotations on arguments and return values.,v2.3,Active
Types,Mypy-clean new code,New analytics and finance code must pass mypy under the current strict configuration.,v2.3,Active
Types,Justified type: ignore,Any new '# type: ignore' must include a short justification comment describing why it is necessary.,v2.3,Active
Types,Use v14 types,Use existing v14 contracts and dataclasses instead of ad-hoc dictionaries for core analytics and finance flows.,v2.3,Active
Docstrings,Docstrings <= 88 chars,Single-line docstrings must not exceed 88 characters; use multi-line docstrings when necessary.,v2.3,Active
Docstrings,Short summary first,Docstrings should start with a one-line summary followed by optional detail or sections on subsequent lines.,v2.3,Active
Logging,Split long logs,Break long logging and error messages into multiple strings or lines before they exceed 88 characters.,v2.3,Active
Functions,Wrap long signatures,Wrap function signatures across multiple lines if they would exceed 88 characters on a single line.,v2.3,Active
Structure,CLI main()/Typer app,CLI and utility scripts must expose a main() function or Typer app and remain import-safe.,v2.3,Active
Structure,Use blessed templates,"New CLIs, analytics modules, and tests should start from the blessed project templates rather than ad-hoc layouts.",v2.3,Active
Process,Pre-commit mandatory,"Pre-commit hooks (black, isort, ruff or flake8, mypy) must be installed and must pass for commits to proceed.",v2.3,Active
Process,Fast CI before review,"Before opening a pull request, run the Go-with-the-Flow CI helper in fast mode on changed files.",v2.3,Active
Process,Log deferred issues,Any intentional style or lint violation must be logged in the deferred violations registry with reason and plan.,v2.3,Active
AI Contract,Go with the Flow = full rules,"If a request mentions 'Go with the Flow' or a variant, the full Go-with-the-Flow ruleset is implicitly applied.",v2.3,Active
AI Contract,First-gen clean,"AI-generated code under Go-with-the-Flow must target passing black, isort, lint, and mypy on the first generation.",v2.3,Active
AI Contract,AI fixes lint errors,"If lint, mypy, or pytest fails, the AI treats it as a generation bug and returns a patch instead of leaving a TODO.",v2.3,Active
AI Contract,AI enforces 88 chars,"AI must structure output so no line exceeds 88 characters, including docstrings and logging statements.",v2.3,Active
AI Contract,AI assumes strict mypy,AI must assume strict mypy on analytics and finance modules and avoid unnecessary Any or implicit Optional usage.,v2.3,Active
AI Contract,AI uses v14 types,AI should prefer v14 contracts and dataclasses over raw dicts and lists when returning KPI bundles or results.,v2.3,Active
AI Contract,AI avoids side effects,AI-generated CLIs must avoid top-level side effects and follow the main() or Typer entry pattern.,v2.3,Active
AI Contract,AI thinks in templates,"AI should conceptually base new CLIs, analytics modules, and tests on the blessed project templates.",v2.3,Active
Generation,Validate before write,"Generated files should be validated via black, isort, lint, and mypy before being written or renamed into place.",v2.3,Active
Generation,Use CST-aware generation,Prefer CST-aware tools such as LibCST for automated refactors that must preserve formatting and style rules.,v2.3,Active
Measurement,Track quality metrics,"Track lint violations per commit, time spent fixing them, and mypy error counts, targeting zero new-code violations.",v2.3,Active
Reviews,Reviews focus on logic,"Code reviews should assume style, lint, and types are enforced and focus primarily on correctness and design.",v2.3,Active
